Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Customer Service Representative,Abu Dhabi,"Hill International, Inc",None,Coordinate with the IT team to ensure that there is technical support before the meeting and ensuring that the daily inspections from IT are done so that the…,None,None,2021-03-17
Service Delivery manager (IT Division),Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,Managed IT operations and IT service delivery based on industry leading frameworks of ITIL. Lead and facilitate the transformation of client IT processes within…,None,None,2021-02-20
IT Manager,Abu Dhabi,Al Fanar General Contracting LLC,None,Monitor system security of all IT. Cost control and management of IT scope. Perform all other IT related duties as required during working hours.,None,None,2021-02-24
Admissions Manager,Abu Dhabi,Brighton College Abu Dhabi,None,"Brighton College Abu Dhabi wishes to recruit an Admissions Manager. Attend, where practical and cost-effective, regular meetings with Admissions Managers from.",None,None,2021-03-10
IT Support Specialist,Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,"Reporting to the Director Shared Services, the IT Manager will lead a team of IT Support staff. Analyze and make recommendations for the improvement of the IT…",None,None,2021-02-20
Product Manager,Abu Dhabi,Anghami,None,"It is as social as it is personal. A product manager will go out of their way to solve a problem. Someone who believes projects are a living thing, by delivery…",None,None,2021-03-18
Management Reporting and Analysis Specialist - Budget Office,Abu Dhabi,NYU Abu Dhabi,None,Provide technical development support for NYUAD reporting and data analytic enablement initiatives in coordination and alignment with the NYU IT Enterprise Data…,None,None,2021-03-22
Support Assistant / Bus Monitor,Abu Dhabi,Nord Anglia Education,None,"It is essential that you possess high levels of personal integrity, and are conscientious. Applicants should submit a CV, letter of application and the details…",None,None,2021-03-17
Senior HSE Manager (Rail),Abu Dhabi,Jacobs,None,"Our People & Places Solutions business – reinforces our drive to improve the lives of people everywhere and epitomizes the ""why"" of what we do – the tremendous…",Senior,None,2021-03-22
IT Network Engineer,Abu Dhabi,Safe City Group,None,"Installing, configuring and supporting network equipment including routers, proxy servers, switches, Load Traffic Managers.",None,2,2021-02-25
Onshore Technical Supervisor,Abu Dhabi,VHR Recruitment,None,"Assist Project Manager in the follow up of offshore operations, including but not limited to: Plan, prepare and perform maintenance of equipment onshore •…",None,None,2021-03-21
Payroll Coordinator,Abu Dhabi,Mandarin Oriental Hotel Group,None,Coordinate with IT and HRIS supplier in any changes or users’ requirements. Requesting installation from IT Department for HRIS users and coordinating with them…,None,None,2021-03-18
Digital Project Manager - Siemens Advanta,Abu Dhabi,Siemens Industrial LLC,None,"Project Manager @Siemens Advanta – United Arab Emirates. Outstanding university degree or top business school MBA, ideally in business, engineering, natural…",None,None,2021-03-22
Senior Document Controller - Local,Abu Dhabi,Worley,None,"You can expect a lot from a career at Worley. Together, our nearly 60,000 people across 60 countries have already achieved many industry firsts.",Senior,None,2021-03-17
ASSISTANT MANAGER - HOUSEKEEPING,Abu Dhabi,Grand Hyatt Abu Dhabi,None,"The Assistant Manager - Housekeeping is expected to manage Housekeeping operation by supporting the Housekeeping Manager through guest Interactions, handle &…",None,None,2021-03-02
SIS Administrator,Abu Dhabi,Nathan & Nathan,None,"Performs any other duties as assigned by the IT Manager which is consistent with the SIS or LMS. Serve as Tier 2 support within IT on user questions,…",None,None,2021-03-08
General Manager - Abu Dhabi,Abu Dhabi,National Oilwell Varco,None,"An effective General Manager can identify problems, think strategically/tactically/technically, solve problems and implement solutions. At 120 days and beyond:",None,None,2021-02-28
AWS Cloud Security Architect,Abu Dhabi,RNTRUST,"20,000",Familiarity with compliance & security standards across the enterprise IT landscape. Good understanding and working knowledge on AWS infrastructure protection…,Architect,6,2021-03-22
Operations Manager,Abu Dhabi,Alpin Limited,None,"The local team is composed of a diverse range of experts who lead their respective fields, including LEED APs, PQPs, trainers, commissioning authorities (CxA),…",None,None,2021-02-20
Fitness Manager,Abu Dhabi,BOOM GYM,None,Must have previews experience as a Fitness Manager for not less than Three (3) years. Takes the vision of the business owner and turning it into profitable…,None,5,2021-03-11
Application Project Manager,Abu Dhabi,GIBRALTAR TECHNOLOGIES LLC,None,Cover the functions of Systems & Applications and IT Infrastructure functions in SF. Cover/oversee the Infrastructure function too - This could evolve as an…,None,&5,2021-03-18
ASSISTANT HOUSE MANAGER (30101),Abu Dhabi,Nadia,None,"Review monthly invoices and endure that it is properly documented. Our reputed client, an iconic entity requires an Assistant House Manager for their founder…",None,None,2021-02-20
Procurement Specialist,Abu Dhabi,BeamTrail,None,"Degree from a recognized university with a concentration on Electronics, IT, or similar. 4+ years of experience in technology procurement with a concentration…",None,None,2021-03-22
Applications Manager,Abu Dhabi,twofour54,None,At least 5 years’ experience in IT projects. Support in budget planning and overall IT KPIs and Objectives. Develops in coordination with IT team a strategy and…,None,None,2021-02-20
Warehouse / Inventory Manager,Al-Ayn,AAR Corp.,None,Develop a yearly inventory schedule and ensure it is adhered to. Direct warehousing activities for organization by performing the following duties personally or…,None,None,2021-02-20
Community Associate,Abu Dhabi,Regus,None,"Confident using MS Office and other basic IT packages. Early afternoon, you sit down with the Community Manager to discuss the organisation of next week’s…",None,None,2021-03-22
Digital Manager,Abu Dhabi,Farah Experiences,None,Be the primary point of contact for all engagements with Farah Experiences IT and collaborate with agencies and other vendor partners as needed.,None,None,2021-03-02
"EHS, Quality, Requirements Manager",Abu Dhabi,Axiom Technologies,None,"EHS, Quality, Requirements Manager / Engineer. Axiom Technologies is an Australian based entity with the history of providing Managed IT solutions to medium to…",None,None,2021-02-20
HR Assistant/Coordinator,Abu Dhabi,Alpin Limited,None,Administrative and IT Support (General – to be managed in conjunction with IT); It is the duty of all employees to act within the legal responsibilities imposed…,None,None,2021-02-20
EM System Engineer,Abu Dhabi,IRISSTAR Technologies,"6,000-11,000", Knowledge of HP Service Manager.  Knowledge of HP Connect IT.  Knowledge of HP Operation Manager Omi.  Knowledge of HP Network Node manager NNM.,None,None,2021-03-03
Project Manager,Abu Dhabi,Axiom Technologies,None,Axiom Technologies is an Australian based entity with the history of providing Managed IT solutions to medium to large scale enterprises globally.,None,None,2021-02-20
Accountant,Abu Dhabi,TT IT UAE,"2,500","Presenting data to managers, investors, and other entities. We are an IT service company based in Abu Dhabi, UAE. Our Target market is Abu Dhabi & Dubai.",None,2,2021-03-19
Data Engineer Royalties & Reporting,Abu Dhabi,Anghami,None,"It is as social as it is personal. Work with other data engineers, software engineers, decision-makers and business stakeholders such as product managers,…",None,None,2021-03-19
