Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Training Manager,Abu Dhabi,AAR Corp.,None,"In the absence of the Trainer, the Manager, Technical & Regulatory Training or an appropriate Subject Matter Expert (S.M.E.), delegated by the Manager, acts on…",None,None,2/16/21
Operations Manager (Gas Turbine) - Abu Dhabi,Abu Dhabi,OnePoint,None,Responsible for setting (planning) priorities in collaboration with contract managers and other department managers and advices the executive management on…,None,None,2/16/21
Engineer I,Abu Dhabi,Petrofac,None,Carry out site technical and safety audits as directed. Provide answers to technical queries related to operations. Lead and carry out risk assessments.,None,None,3/16/21
Construction Supervisor - Piping,Abu Dhabi,Penspen,None,Making the daily report and reporting to construction manager. Co-ordination with the client personnel and liaise the technical engineer for submission of…,None,None,3/14/21
Relationship manager - Hunting,Abu Dhabi,Versatile Consultancy,"4,500",Maintain professional and technical knowledge by participating in trade shows and conventions; Secure new business opportunities through networking and contact…,None,2,3/3/21
Operations Manager,Abu Dhabi,Alpin Limited,None,"The local team is composed of a diverse range of experts who lead their respective fields, including LEED APs, PQPs, trainers, commissioning authorities (CxA),…",None,None,2/16/21
BIM Manager for infrastructures projects,Abu Dhabi,LC & Partners,None,"Strong computer, technical and communication skills are essential and required. The BIM Manager will coordinate all BIM Logistics (BIM Models, Emails, File…",None,None,2/16/21
Enterprise Sales Manager,Abu Dhabi,EC-Council,"120,000-175,000",Graduate/ MBA with a technical background preferred. EC-Council group is made up of several entities that all help serve the same goal which is to create a…,None,8,2/16/21
Area Manager,Abu Dhabi,Q-Express Documents Transport,None,"Ability to work for different managers: Ability to utilize exceptional problem-solving, and communication skills to influence business and technical audiences.",None,None,2/16/21
SIS Administrator,Abu Dhabi,Nathan & Nathan,None,"Performs any other duties as assigned by the IT Manager which is consistent with the SIS or LMS. Good communication skills and ability to work with teams,…",None,None,3/8/21
